Date,Open,High,Low,Close,Volume
2002-07-01,15.53,16.33,15.53,16.2,87810.0
2002-07-02,15.54,16.56,15.54,16.37,588615.0
2002-07-03,16.19,16.58,15.95,16.53,162075.0
2002-07-04,16.48,16.96,16.48,16.7,266625.0
2002-07-05,17.01,18.18,16.96,17.49,408600.0
2002-07-08,17.45,18.08,17.45,17.81,165600.0
2002-07-09,17.74,17.91,17.45,17.67,74835.0
2002-07-10,17.45,17.88,17.26,17.78,93675.0
2002-07-11,17.91,17.91,16.53,17.76,61380.0
2002-07-12,17.96,17.96,17.47,17.57,63405.0
2002-07-15,17.81,17.81,17.01,17.15,42795.0
2002-07-16,17.46,17.46,16.98,17.11,107070.0
2002-07-17,16.93,16.96,16.25,16.56,114600.0
2002-07-18,17.22,17.22,15.84,16.62,88500.0
2002-07-19,16.34,16.73,15.3,16.26,104325.0
2002-07-22,16.24,16.63,15.99,16.41,86790.0
2002-07-23,16.48,16.72,16.24,16.43,52935.0
2002-07-24,15.35,16.93,15.35,16.51,34530.0
2002-07-25,16.14,17.42,16.14,17.02,188115.0
2002-07-26,16.98,17.3,16.48,16.79,420480.0
2002-07-29,16.88,17.42,16.29,16.41,235215.0
2002-07-30,16.5,16.73,15.75,15.88,70515.0
2002-07-31,14.86,16.83,14.86,16.18,247245.0
2002-08-01,16.52,16.52,15.8,16.01,36225.0
2002-08-02,15.25,16.23,15.25,16.0,18165.0
2002-08-05,15.72,16.33,15.72,16.25,95790.0
2002-08-06,16.23,16.46,16.23,16.24,72615.0
2002-08-07,15.79,16.58,15.79,16.42,64575.0
2002-08-08,16.43,16.63,16.29,16.54,130245.0
2002-08-09,16.07,16.63,16.07,16.54,62790.0
2002-08-12,16.29,16.73,16.29,16.42,31755.0
2002-08-13,16.3,16.68,16.3,16.51,64410.0
2002-08-14,15.84,18.65,15.84,16.46,71940.0
2002-08-15,16.46,16.46,16.46,16.46,0.0
2002-08-16,16.39,16.67,16.31,16.39,44520.0
2002-08-19,16.22,16.63,15.77,16.02,203220.0
2002-08-20,16.18,16.93,16.09,16.76,137910.0
2002-08-21,16.95,16.98,16.39,16.5,95760.0
2002-08-22,16.49,16.73,16.0,16.64,73305.0
2002-08-23,16.51,16.7,16.48,16.58,118755.0
2002-08-26,16.44,16.83,16.44,16.63,83790.0
2002-08-27,16.83,16.93,16.63,16.64,57975.0
2002-08-28,17.04,17.04,16.63,16.66,96015.0
2002-08-29,16.63,16.88,16.49,16.73,147930.0
2002-08-30,16.73,16.82,16.68,16.74,30945.0
2002-09-02,16.78,16.98,16.58,16.75,48225.0
2002-09-03,16.97,16.98,16.48,16.91,133830.0
2002-09-04,16.83,16.93,16.73,16.8,12720.0
2002-09-05,17.32,18.4,17.12,17.24,324420.0
2002-09-06,17.24,17.51,17.12,17.3,104160.0
2002-09-09,18.4,18.4,16.78,16.91,44100.0
2002-09-10,16.91,16.91,16.91,16.91,0.0
2002-09-11,17.07,17.15,16.73,16.78,318075.0
2002-09-12,17.2,17.2,16.73,16.87,75300.0
2002-09-13,16.29,17.03,16.29,16.95,22545.0
2002-09-16,16.73,17.02,16.73,16.88,72045.0
2002-09-17,16.88,16.95,16.79,16.88,31845.0
2002-09-18,16.88,16.98,16.84,16.95,57960.0
2002-09-19,16.98,17.07,16.69,16.99,287775.0
2002-09-20,17.71,17.71,16.78,16.83,25680.0
2002-09-23,16.77,16.96,16.71,16.73,18975.0
2002-09-24,16.75,17.22,16.69,17.16,503745.0
2002-09-25,16.95,16.98,16.79,16.84,10275.0
2002-09-26,18.21,18.21,16.73,16.86,7785.0
2002-09-27,17.17,17.17,16.85,16.92,15315.0
2002-09-30,17.71,17.71,16.73,16.82,27465.0
2002-10-01,16.73,16.92,16.73,16.74,12840.0
2002-10-02,16.74,16.74,16.74,16.74,0.0
2002-10-03,16.73,17.02,16.73,16.97,46560.0
2002-10-04,16.98,17.17,16.76,17.04,42345.0
2002-10-07,15.99,17.03,15.99,17.01,82650.0
2002-10-08,16.43,17.22,16.43,16.93,769245.0
2002-10-09,16.88,16.98,16.75,16.83,85935.0
2002-10-10,16.93,16.98,16.8,16.83,76920.0
2002-10-11,16.82,17.01,16.78,16.95,28455.0
2002-10-14,17.2,17.2,16.7,16.75,80130.0
2002-10-15,16.75,16.75,16.75,16.75,0.0
2002-10-16,16.98,16.98,16.73,16.77,1001205.0
2002-10-17,17.17,17.17,16.84,16.94,486090.0
2002-10-18,17.15,17.15,16.69,16.74,80985.0
2002-10-21,16.98,17.15,16.7,16.98,319500.0
2002-10-22,17.3,17.3,16.55,16.98,449505.0
2002-10-23,16.7,17.25,16.7,16.98,105795.0
2002-10-24,16.8,17.19,16.8,16.94,121560.0
2002-10-25,17.1,17.1,16.7,16.91,396735.0
2002-10-28,16.7,16.8,16.46,16.62,348720.0
2002-10-29,16.46,16.65,16.46,16.52,37365.0
2002-10-30,16.46,16.46,16.11,16.25,182820.0
2002-10-31,16.36,16.46,16.28,16.38,33030.0
2002-11-01,16.46,16.46,15.96,16.12,67995.0
2002-11-04,16.31,16.75,16.31,16.73,11865.0
2002-11-05,16.54,16.8,16.53,16.77,26295.0
2002-11-06,16.77,16.77,16.77,16.77,0.0
2002-11-07,17.0,17.0,16.06,16.13,234735.0
2002-11-08,16.31,16.31,16.17,16.21,131475.0
2002-11-11,16.31,16.41,15.86,16.07,161295.0
2002-11-12,16.08,16.11,15.93,15.95,20775.0
2002-11-13,16.1,16.26,15.95,16.24,33360.0
2002-11-14,16.21,16.75,16.21,16.56,60870.0
2002-11-15,16.56,16.68,16.26,16.39,13110.0
2002-11-18,16.31,16.43,16.11,16.14,27525.0
2002-11-19,16.14,16.14,16.14,16.14,0.0
2002-11-20,16.12,16.25,16.01,16.02,46080.0
2002-11-21,16.11,16.46,16.11,16.28,45675.0
2002-11-22,16.46,16.53,16.45,16.46,19215.0
2002-11-25,16.46,16.55,16.46,16.47,34650.0
2002-11-26,16.55,16.65,16.46,16.53,27495.0
2002-11-27,16.6,16.65,16.46,16.49,24015.0
2002-11-28,16.46,16.52,16.43,16.49,21945.0
2002-11-29,16.31,16.5,16.11,16.25,194625.0
2002-12-02,16.41,16.47,16.21,16.35,171555.0
2002-12-03,16.46,16.46,16.21,16.3,925215.0
2002-12-04,16.31,16.46,16.23,16.39,6705.0
2002-12-05,16.75,18.95,16.37,16.47,23775.0
2002-12-06,16.58,16.6,16.41,16.48,61455.0
2002-12-09,16.46,16.64,16.41,16.49,35655.0
2002-12-10,16.16,16.53,16.16,16.46,2556705.0
2002-12-11,16.52,16.7,16.36,16.46,1027050.0
2002-12-12,16.41,16.7,16.31,16.54,281640.0
2002-12-13,16.46,17.05,16.36,16.65,179070.0
2002-12-16,16.55,16.6,16.33,16.45,49470.0
2002-12-17,16.38,16.53,16.36,16.43,23265.0
2002-12-18,16.9,16.9,16.46,16.55,33705.0
2002-12-19,16.46,16.63,16.46,16.55,662415.0
2002-12-20,15.73,16.63,15.73,16.42,25080.0
2002-12-23,16.46,16.48,16.21,16.22,36885.0
2002-12-24,16.44,16.44,16.06,16.09,147645.0
2002-12-25,16.09,16.09,16.09,16.09,0.0
2002-12-26,16.16,16.46,15.96,16.3,83250.0
2002-12-27,16.21,16.36,16.13,16.24,9375.0
2002-12-30,16.41,16.44,16.21,16.23,26310.0
2002-12-31,16.26,16.36,16.2,16.22,82995.0
2003-01-01,16.21,16.27,16.21,16.21,12885.0
2003-01-02,16.21,16.36,16.21,16.31,15960.0
2003-01-03,16.36,16.55,16.33,16.34,21945.0
2003-01-06,16.41,16.44,16.26,16.41,25155.0
2003-01-07,16.41,16.52,16.36,16.5,33825.0
2003-01-08,16.51,16.52,16.41,16.5,114570.0
2003-01-09,16.51,16.55,16.34,16.51,51555.0
2003-01-10,16.5,16.55,16.41,16.54,30540.0
2003-01-13,18.45,18.45,16.31,16.45,59040.0
2003-01-14,16.65,16.8,16.56,16.75,45600.0
2003-01-15,16.65,16.92,16.2,16.39,50295.0
2003-01-16,15.46,16.8,15.46,16.77,150120.0
2003-01-17,16.7,16.78,16.65,16.68,89235.0
2003-01-20,16.76,16.76,16.56,16.69,29775.0
2003-01-21,15.51,16.85,15.46,16.68,31245.0
2003-01-22,16.8,16.8,16.65,16.74,207600.0
2003-01-23,16.85,16.85,16.51,16.63,61650.0
2003-01-24,16.55,16.7,16.55,16.68,60285.0
2003-01-27,16.51,16.69,16.31,16.53,23250.0
2003-01-28,16.48,16.75,16.48,16.6,60855.0
2003-01-29,16.6,16.65,16.27,16.44,33105.0
2003-01-30,16.46,16.52,16.26,16.47,17520.0
2003-01-31,16.31,16.51,16.21,16.25,26985.0
2003-02-03,16.01,16.57,16.01,16.15,54750.0
2003-02-04,16.11,16.41,16.11,16.35,18540.0
2003-02-05,16.19,16.54,16.19,16.46,108795.0
2003-02-06,16.36,16.46,16.33,16.46,49860.0
2003-02-07,16.26,16.4,16.26,16.37,24570.0
2003-02-10,16.21,16.42,16.06,16.22,20490.0
2003-02-11,16.46,16.46,16.21,16.24,22020.0
2003-02-12,16.35,16.35,16.21,16.29,4545.0
2003-02-13,16.29,16.29,16.29,16.29,0.0
2003-02-14,16.21,16.23,16.01,16.17,46095.0
2003-02-17,16.11,16.35,15.98,16.09,21525.0
2003-02-18,16.21,16.35,15.96,16.01,66765.0
2003-02-19,16.19,16.19,15.98,16.08,47265.0
2003-02-20,16.06,16.21,16.01,16.16,149370.0
2003-02-21,16.16,16.26,16.12,16.21,34065.0
2003-02-24,16.29,16.3,16.03,16.07,13755.0
2003-02-25,16.06,16.16,16.06,16.15,22545.0
2003-02-26,16.21,16.21,15.96,15.96,16515.0
2003-02-27,15.97,16.16,15.96,16.02,10200.0
2003-02-28,16.06,16.19,15.71,15.84,45405.0
2003-03-03,16.12,16.12,15.66,15.72,122715.0
2003-03-04,16.21,16.21,15.51,15.58,58515.0
2003-03-05,15.93,15.93,15.46,15.54,212100.0
2003-03-06,15.63,15.71,15.61,15.65,16500.0
2003-03-07,15.66,16.04,15.61,15.96,49020.0
2003-03-10,16.21,16.51,16.01,16.38,97065.0
2003-03-11,16.21,16.6,16.21,16.58,568125.0
2003-03-12,16.46,16.53,16.41,16.49,31560.0
2003-03-13,16.45,16.6,16.36,16.56,41265.0
2003-03-14,16.56,16.56,16.56,16.56,0.0
2003-03-17,16.48,16.7,16.28,16.49,76605.0
2003-03-18,16.49,16.49,16.49,16.49,0.0
2003-03-19,16.7,17.9,16.46,16.92,314415.0
2003-03-20,16.7,17.2,16.66,17.15,142350.0
2003-03-21,17.15,17.25,17.07,17.22,190095.0
2003-03-24,16.7,17.42,16.7,17.37,279615.0
2003-03-25,17.2,17.3,16.85,17.05,229980.0
2003-03-26,17.04,17.04,16.81,16.89,19845.0
2003-03-27,16.75,16.95,16.73,16.88,30765.0
2003-03-28,16.73,16.73,16.52,16.61,12105.0
2003-03-31,16.55,16.7,16.37,16.46,179940.0
2003-04-01,16.11,16.43,15.98,16.39,23235.0
2003-04-02,16.41,16.5,16.31,16.44,4500.0
2003-04-03,16.44,16.5,16.36,16.43,6915.0
2003-04-04,16.41,16.53,16.36,16.46,12075.0
2003-04-07,16.46,16.65,16.21,16.39,26325.0
2003-04-08,16.46,16.8,16.26,16.32,23265.0
2003-04-09,16.46,16.51,16.26,16.31,13515.0
2003-04-10,16.16,16.46,16.01,16.13,57330.0
2003-04-11,16.18,16.36,16.11,16.15,18165.0
2003-04-15,16.36,16.36,16.16,16.22,22275.0
2003-04-16,16.16,16.41,16.06,16.18,438645.0
2003-04-17,16.55,16.55,16.17,16.35,62925.0
2003-04-18,16.35,16.35,16.35,16.35,0.0
2003-04-21,16.25,16.65,16.11,16.12,63705.0
2003-04-22,16.35,16.7,16.21,16.43,63855.0
2003-04-23,16.41,16.41,16.21,16.24,20715.0
2003-04-24,16.21,16.36,16.16,16.31,15945.0
2003-04-25,16.08,16.28,16.08,16.17,74355.0
2003-04-28,16.21,16.31,16.21,16.25,15270.0
2003-04-29,16.31,16.6,16.28,16.42,116415.0
2003-04-30,16.46,16.57,16.46,16.52,413175.0
2003-05-01,16.52,16.52,16.52,16.52,0.0
2003-05-02,16.46,18.45,16.46,17.75,136125.0
2003-05-05,17.9,17.95,16.96,17.04,78720.0
2003-05-06,17.2,17.2,16.8,16.91,63255.0
2003-05-07,17.0,17.2,16.95,17.14,282525.0
2003-05-08,17.07,17.07,16.94,17.01,53295.0
2003-05-09,16.96,17.09,16.9,17.02,71700.0
2003-05-12,16.95,17.09,16.93,16.96,82605.0
2003-05-13,17.1,17.1,16.77,16.86,20355.0
2003-05-14,16.9,16.96,16.75,16.79,62280.0
